subject_id,rpl,resting_alpha_power,resting_total_power,smr_strength,mu_erd_real_C3,mu_erd_real_C4,mu_erd_real_Cz,beta_erd_real_C3,beta_erd_real_C4,beta_erd_real_Cz,mu_ers_real_C3,mu_ers_real_C4,mu_ers_real_Cz,beta_ers_real_C3,beta_ers_real_C4,beta_ers_real_Cz,mu_erd_imagined_C3,mu_erd_imagined_C4,mu_erd_imagined_Cz,beta_erd_imagined_C3,beta_erd_imagined_C4,beta_erd_imagined_Cz,mu_ers_imagined_C3,mu_ers_imagined_C4,mu_ers_imagined_Cz,beta_ers_imagined_C3,beta_ers_imagined_C4,beta_ers_imagined_Cz
S011,2.01281885780478,1.5860832384209913e-11,7.879910466214557e-12,2.517175443610043,-57.535370043562104,-69.9075148701264,-76.30458614068272,-70.60215047749317,-77.43657317989316,-72.54274103919454,593.5398888124316,383.33379929235775,231.70729346575425,23.661669852889283,164.03267827820088,89.64370039184298,-67.8697327516932,-68.99492711006944,-80.99849178425687,-64.86716159536424,-73.28191530136216,-72.76656838624389,241.21444608890107,343.1766463885918,160.14235224313293,98.43984231309156,93.92511078866073,62.753032731913585
S012,0.8664957707522963,6.90326276821552e-12,7.966874162838752e-12,1.6748733445968966,-63.62312109386108,-67.57668181288868,-69.27505325388721,-55.609599888604556,-55.61867043396824,-57.34561738111932,169.40040074043876,343.5082074977793,278.578523555977,94.33386535289803,152.69037303594374,123.86726269989683,-74.88398203103604,-72.97436988603637,-79.7915798330835,-52.64763585077896,-66.53632069816777,-62.54284505882591,715.5383123454252,435.4911406802654,311.192912304328,134.08396285308487,141.36277549725904,97.66088013140053
S013,1.7634744537524845,6.32633267377429e-11,3.587425187993244e-11,3.1895119269917203,-57.434374279454616,-89.55731526362491,-88.02142439123696,-48.9414562796781,-68.30747123617131,-59.46637193122365,440.66323421313393,855.7650752344684,342.7536540850255,360.85262481186277,293.6169482672894,212.88677272985956,-64.71549964938093,-66.48648836548946,-67.6480786395619,-55.48905663303788,-69.21948815821027,-54.294288533710834,432.24317902256837,250.06721700438473,564.6525933414312,70.59067753561375,193.1430427463247,133.696211206858
S014,3.468953815100686,7.369548896668202e-11,2.124429810678901e-11,2.60998937220446,-89.53972783996078,-79.49920359775209,-88.71721688084146,-59.76397491600718,-45.19840716589701,-44.269262390147695,91.36260367065663,631.6307573617829,189.38045959404687,47.71514106137377,70.5782384414536,217.8375972386104,-68.94418351827429,-52.076832307337206,-68.30366947908864,-66.90396837484737,-34.00041995281488,-48.96746426559485,162.6483046408244,419.6560253902893,224.74612983017917,126.67470255137047,142.61976465013194,68.1976643637164
S015,2.3271505039012297,1.15788978461024e-10,4.975568974456771e-11,4.3370554433747515,-63.76871258004283,-65.4488722643634,-59.29737564587598,-66.3199573911214,-70.50229266469601,-66.19650151523665,109.04561382987711,499.28275276414126,378.29452331641914,50.21285941465364,15.246563453724251,27.169082442734656,-55.83853964183159,-88.0201178198924,-68.16069279025703,-54.832320625318445,-44.15628712687118,-39.4713042228609,291.1540182893184,308.3548826315962,1137.6629253432563,209.01886361191072,152.37637906306466,152.57533009353824
S016,1.8142454476799454,6.372677384023347e-12,3.512577304340335e-12,2.852551404565631,-47.35105175408215,-55.26388415506356,-48.4965226880554,-55.761151829513324,-48.47909235435795,-61.433290556997655,135.63983759133288,248.546918780138,228.23474256813748,433.25091144703663,70.17770040941052,155.87758163818796,-77.51450829906165,-61.690400423919336,-60.41205296412658,-65.88626545259302,-69.11364735130891,-64.23126936877479,473.7347919352923,419.4458883056062,363.7526389906423,205.14750475919848,315.78787207100333,388.8552648140387
S017,2.7539710259593297,1.390737930825788e-10,5.0499366831258964e-11,0.995158871349922,-74.68933550042168,-80.14135291548186,-78.59064997308633,-72.74923270100787,-64.9954385500028,-66.93590632825547,619.7391008140829,322.44577167509226,552.4275755394027,106.54708241016813,70.8691461874563,95.68593531981938,-64.63471121290512,-70.39823449802974,-43.489357112080626,-44.292825353899204,-47.90110715334413,-53.117418180305705,443.2567940879336,573.9892041731941,388.38376133668675,231.79423869460888,123.32202846137173,100.84760871446915
S018,1.7267110297339574,1.5233588893940155e-11,8.822315159640386e-12,1.8874546697206966,-67.34196930774552,-77.54584944748818,-73.02356667266817,-75.99940823605472,-70.75773710124518,-76.08915898838076,217.97396371596557,336.4424354568336,357.42850006631545,125.9584838723869,135.87379029343032,103.44600829928898,-75.17742647698591,-77.66569442356925,-78.92817441796166,-61.60590018926416,-48.34395715873841,-54.94261365691898,291.3670893045654,326.31990657233547,421.00079951123223,443.308607626501,391.199565355325,505.8694581796698
S019,1.2287691875386397,2.3453808573740287e-11,1.9087236896557323e-11,3.459792636266137,-87.54625218876542,-83.89704969128795,-85.6419041840565,-78.8815435964531,-67.71902689619891,-68.986923281653,163.59894083816425,1436.4379891515491,349.26453715744157,15.919515838376002,44.55805548563173,69.74567119155381,-78.35596272853098,-65.98356062008314,-75.53468932771875,-74.32957184375682,-73.93032812478168,-76.53079745019058,1464.5098926882347,2138.5181908867767,1980.564557908512,147.7656245535042,129.35318808357957,211.63096896300866
S020,1.9598858297705641,2.1125242519158326e-11,1.0778812825863112e-11,2.633837011720665,-51.77076651239655,-60.99328998506447,-70.73952599688343,-72.16918535096387,-70.00207588869696,-75.26240291093522,225.9598881795296,252.4542509818426,231.0952950931805,214.89905179846124,232.7528842160354,263.7287257466607,-66.49407046376487,-57.30219479915325,-80.31680756658375,-64.94687640440456,-43.82517008731702,-53.720508121175484,718.1448089879848,608.2761307230618,1360.4499150579813,52.132878494546475,90.7061595764156,58.62586359849057
S021,2.995924776983076,4.5943471682379944e-11,1.5335322180100076e-11,4.490886477284221,-84.37538743852127,-86.5035930215193,-86.18097579933038,-75.40284725082982,-83.79118576888787,-78.4966703041738,1511.6416132364004,225.45464682886967,663.066218844167,546.3110653085173,211.87080361055882,283.66769144646946,-71.52056008082221,-67.7102462238624,-76.39476828452355,-73.11761512897083,-80.74874217879375,-75.42648363206793,979.5844546142865,597.6720274319792,646.8956662715633,198.5613017000683,290.35901949862637,260.59888350557696
S022,1.213913017830515,3.381987863126907e-11,2.786021579347702e-11,2.766366394377677,-63.18663971394868,-66.60458793715046,-54.03646208231395,-68.85403809182091,-71.79865324502128,-69.47923520062372,337.389323657518,696.1203049168702,274.80260569059,336.51734727020386,85.91367255680585,55.18091857161205,-67.31641217774312,-72.16653537380708,-60.93520530203026,-31.434850918137773,-47.9579534899191,-40.56503354644375,606.1953493699441,619.9896139731135,507.174282948882,130.70956836637583,142.46741545433582,119.44042297182787
S023,2.301499720912358,1.6639715059668804e-10,7.22994441775231e-11,2.3352161580680004,-87.74904227651355,-84.60705472784431,-84.37329767885207,-75.58015809196097,-78.76569475010955,-74.26098242585067,549.157854279536,311.8489025588739,354.0361162802294,204.12119858169655,154.50584050946426,227.50412774488993,-78.64434809999527,-84.80919596214261,-75.79691918251463,-77.99694159941231,-70.12134744348566,-68.79080789379172,1236.4494603160101,1398.7021598643141,1509.6712906791224,157.00291080714376,35.61395545188831,116.19766803667775
S024,2.0282804124081317,1.3618825761864598e-11,6.714468906049964e-12,2.4432425978634953,-83.67277946659667,-86.44239497812664,-89.80791042977427,-35.73841441630174,-45.60013552235878,-55.59623511257483,170.38597229224177,82.4373281210278,96.32013853023224,101.22722943001816,81.08873303294605,53.28212385164186,-78.67656167001748,-81.78831399626878,-87.1123730418954,-60.451137482564235,-57.939628008247645,-65.88204956986282,1286.9028925608802,235.20504209279633,335.4768790946818,135.42948005983953,108.78150885064582,142.77876236302725
S025,3.910415851194777,9.223929741647948e-11,2.3588104418177663e-11,5.634226805840413,-72.62409556237708,-65.16016757112918,-46.42260795038545,-76.5555387256083,-60.61047168068888,-69.08566470343867,117.55257218549889,129.5262158333823,391.7324918264729,353.44507242633125,251.07906232792422,273.0980917944882,-85.02514671584841,-82.577185169581,-83.91958088687382,-43.44480384285536,-58.24221401651742,-49.06270551544476,176.4738125968778,105.87572995960474,111.31211776775767,185.4408278118924,176.98757173644563,230.62373048184938
S026,1.161388030019538,1.4509212104819882e-11,1.2492992634490812e-11,3.2780117557812645,-74.85479446857236,-77.16639624076824,-73.77723944217517,-68.06574315660063,-67.091246325252,-70.08146740522906,418.01229808005155,856.3798151069918,534.3834723536679,22.347239246181104,84.42026192911163,57.183360469934726,-55.988038398544845,-72.98310851323836,-66.67712658192548,-54.12159355492149,-34.17600367339423,-57.63374041652008,255.62028428493613,355.7328360117559,401.88353146577936,85.84629004542123,112.94995859425691,60.30539234910503
S027,2.997408748943721,1.5617700189196174e-10,5.210400548373595e-11,5.32964804481653,-94.91851077790977,-84.91553784571862,-88.04514584855693,-87.15468626098674,-51.33047392433896,-59.989260845875094,342.38848649456156,67.53892822425394,697.2427107079777,97.10323660323925,80.60264193807852,71.9892908729305,-92.85075513952825,-85.98665962880081,-89.32896018879187,-53.94539223629248,-59.04440158632707,-54.29668297791399,382.9945082215941,170.90451626378277,319.14796503162455,486.1774875865951,265.3148670439605,287.388853593156
S028,1.3852210420939213,9.677511772728786e-11,6.986258134008787e-11,3.969604359511429,-92.75272482073915,-82.77557559555446,-85.02884561173036,-55.079482965885006,-26.776943481378108,-36.42722604630034,476.0118303536058,137.55198403553032,334.5386806505696,74.21551962732951,280.02509787074445,132.20542935006554,-74.05738698779716,-83.20242812387228,-75.87485600282264,-74.67729399836603,-72.06826485105981,-76.23212654978651,427.9626653420187,443.95834730591906,815.6602491515536,117.33768552437434,111.58456893659312,132.2736163308844
S029,3.756408121565789,9.743043570192528e-11,2.5937127316536952e-11,7.384169362310978,-84.31285852713454,-95.28412165729463,-94.46417690059101,-81.19301862970919,-79.03770127744625,-72.98838107856606,129.8407983859928,263.7393189614555,283.78433808951036,93.1526397550816,126.63728587465657,137.28436617625312,-74.66255507222678,-91.53067069380283,-87.08945219922177,-50.097346129976685,-60.186206757214045,-67.04194292942933,43.328620439650244,121.93105379770807,226.423061750909,103.84706205953631,176.208646234721,61.228818866413526
S030,2.314929270422732,4.413935787896926e-11,1.9067259826434747e-11,3.1200963996679647,-79.78637789202917,-81.8652727105528,-82.01706907412263,-62.82479766710157,-59.24265434271846,-53.92839614161995,764.4021544053179,820.04138568071,723.0978647279327,391.31938057517243,299.2979006780515,242.73348043480053,-74.55828182678172,-33.00325971790746,-21.239064422390854,-69.38318278463773,-63.25218779525484,-63.53392567862386,234.86706731906997,218.51094492064394,205.49036036812103,377.96267093900593,143.7504186657834,194.678449585186
S031,1.4625407515880056,5.013527242465134e-11,3.427957297614797e-11,6.577253985454391,-71.97019885724963,-72.16780777905183,-66.93623443402218,-56.70177728183986,-72.77367478042893,-66.33194936124323,1196.9172709515485,1707.5378620948823,1220.8119261303289,188.21165346621038,227.9178522313178,228.369283494474,-82.40173601629112,-82.99130787012014,-78.73072084411635,-73.6527700617629,-77.96580182627596,-78.63917806478497,413.52291465011996,414.70165048457915,203.0939502851224,188.19113231975447,253.59019335076732,228.77081996393375
S032,0.40308842749085305,2.1091393870458193e-11,5.2324483741068955e-11,3.2504049707202753,-58.88991439436543,-28.662552644056728,-50.49088660103821,-65.7042806834864,-67.32095676781185,-63.14043239003724,1085.6632491656703,918.6777509654038,461.64270010783974,120.11025494951863,90.2110608126035,27.791105074981974,-68.52046271800504,-66.80829861189255,-48.8314817657669,-65.91806400838874,-45.42051539158204,-63.56663950841255,298.9140847598105,346.03374818511105,486.4533174627268,216.74782615024816,160.7984907573407,168.2728780586065
S033,1.4126545750782649,1.4138979878548917e-11,1.0008801959081596e-11,7.975806777812942,-88.67622725692449,-97.0159850379011,-78.03498485727619,-71.00586229499415,-82.07014075013787,-65.66647373641838,222.97620555158102,197.3244307797418,190.0103743245417,120.92189709925698,57.16498672638279,120.1585295114761,-96.08311045370617,-91.8286937195484,-80.09273947558225,-60.505100002293254,-67.99386040171775,-53.548161761051475,135.21437246386955,191.86021832637584,188.8970607898518,153.16052944422697,97.42599085825455,218.2565396761351
S034,1.7567182228907372,3.919017538557473e-11,2.2308743015761526e-11,8.716625298046374,-90.8099958270744,-92.6390638223904,-88.53176263555056,-72.77010920452037,-41.10528991297978,-61.85953850661592,497.4902657822568,111.68560118461129,494.97667188049894,114.38910454704076,62.943258406534994,192.0008032934045,-97.8283316771889,-94.41559499443545,-95.09699046170417,-71.76047320490355,-85.86985835707841,-79.90948241443158,238.7659888023571,171.67713411975896,508.07867474753544,85.06436492267737,90.83210329009745,129.60219195431378
S035,1.5821578985637825,1.6669739407093446e-11,1.0536078239868186e-11,9.55464222230735,-86.51578830346517,-73.61051006007519,-68.89735870969015,-68.418995091067,-76.18588730287101,-64.81618545381424,178.29917887990732,207.21649261827952,1128.2496491155537,18.40425860751153,113.44472542139535,106.09566740977321,-87.37448416301916,-84.29692564999405,-74.40674962988652,-60.01065454251668,-58.31921751043362,-57.665611194928026,107.54536023117758,325.04700583203737,280.98283751193355,58.77750149698628,206.08983648210543,174.3643330286368
S036,1.943464576527471,7.551923625970515e-11,3.885804617784228e-11,2.517849710583384,-45.729635466616145,-57.11637541511385,-49.75710912179648,-63.07726360400382,-46.2519840638621,-38.588368872657874,289.47371309864,261.55968656131165,242.82461689851925,76.52232940891976,140.73858253358475,107.79654243833868,-70.45501291018623,-69.91647222535218,-69.24328414085319,-73.99529434097856,-83.2986494465081,-79.99968916918576,2934.667097467277,1261.7829970522962,2511.816365288023,141.51125527650882,109.43398510467104,147.29343069627174
S037,0.7496097503522255,6.2044991615128706e-12,8.276972329398743e-12,2.527212555800368,-44.32781056889998,-36.35561849267139,-37.33513578127842,-69.11507808006037,-57.769728952416486,-58.8134551704395,315.330820888444,259.22582045056635,235.40144596325283,110.95594311772008,120.52756543864409,121.01357540036908,-64.34706726440102,-70.37588966158577,-70.1606058320597,-54.91212212621558,-56.643675703518916,-55.240446677001444,355.07347353085356,341.5010178332741,307.8058033142682,513.9950349544065,225.2174847665753,227.10896370479938
S038,0.9749926782260125,2.5096179429480895e-11,2.573986450353975e-11,1.6465101186367619,-57.37352787576129,-53.124836913674756,-52.05311373608019,-63.468312070562405,-69.74822572733814,-40.58933770027122,735.7978200550834,596.7266018484962,556.8740099513856,146.34933253135688,54.62472746092148,87.95515793960614,-62.58241799051125,-52.67355562755062,-65.11965361599222,-51.59258203668629,-61.87363343243021,-59.58007355674169,634.0850815271184,1084.4603884692858,617.6713014106847,321.5195726152396,293.3002065549091,385.4621282498664
S039,0.9119799109340574,5.5455497071591803e-11,6.080780553027075e-11,2.753895217770051,-64.34915469022447,-61.082149241756056,-67.25044687521286,-69.50532145799797,-48.76868006422107,-49.71257532158881,851.3721180365163,930.5859336687139,168.5931565962186,72.90159759396634,135.80009472682553,107.84010140566981,-68.77676827644667,-63.104585636645325,-80.47574006481828,-56.930921234520696,-51.99705226431192,-67.73990735850361,143.93746133000315,1736.7972634341068,217.72161367274546,175.96420441933068,55.73345107696779,111.22620052166141
S040,1.674911599689097,5.14902134186072e-11,3.074204837327832e-11,2.891174397687138,-49.484669565804246,-48.20637051027102,-46.48860684754387,-52.37939967760682,-52.68728672007992,-53.49388993058719,396.13262216029585,1060.710505245225,678.4185409847362,340.0510702646298,78.15653772271652,83.96129348572815,-50.57623446392257,-69.13853619227609,-47.69749537587918,-50.27725447425424,-40.41060933968072,-52.18849963056028,417.36648129512446,493.2786951447982,712.4299817266254,271.0414704617801,247.54333022421747,332.43878866347933
S041,1.8342692234566638,1.4494778089986026e-11,7.902208631441108e-12,3.1593198797234407,-85.05307802420354,-82.12385256537523,-82.89815847327729,-67.85711277638126,-67.42685482768758,-76.22593474711033,528.7521974507029,603.0220281679681,278.8559785276609,21.580479657232516,54.62693608285092,29.784221820354723,-80.98268021673236,-73.80965734725916,-81.26093299595027,-74.03129133415692,-66.12798986944016,-59.435731548916735,574.6310119364028,1041.8485337901773,662.7496493679711,508.4317219312518,284.367633271509,258.50617395172935
S042,3.133543725718179,6.713281468147995e-11,2.142392784581097e-11,15.445044457819805,-86.19292953505042,-80.32857295439672,-81.27018019759365,-81.83345201611385,-87.77989942130777,-88.7420293922853,61.12303940331486,566.7431284991276,140.7852265485442,184.7127176758066,78.73582565587677,227.91415615683647,-68.36173324547383,-80.09323741543845,-68.24533842932632,-56.566636792277315,-70.96213362235329,-55.98430719813442,936.3113887990636,474.66530324559403,697.0283226129856,175.17652310192997,619.2192831703567,260.49291306775234
S043,1.7449618426396085,8.977701261702338e-11,5.144926979103305e-11,2.825927472609294,-72.70119206768844,-78.09364117816946,-72.07178333534014,-59.37391913676342,-62.768767520568325,-75.08271876915691,156.61623409196514,291.9882433987495,252.06202408073085,101.7987434362494,57.25049228157839,87.83505105432879,-78.07068545524929,-35.74831694232156,-68.4948522047803,-55.71191124408155,-57.23857184316164,5.241357034770649,271.47236605766506,438.77653059894317,479.7261281259078,98.2073793974368,93.52288951914123,231.26867674065568
S044,3.862548695514075,2.8737737980488066e-10,7.440097263722212e-11,6.439412978585409,-77.41874262700799,-79.04074135418095,-71.74711497316754,-64.7726351479208,-64.80269988814527,-43.41536154430489,98.34700270290493,199.6629692336408,342.13958482718493,127.3576349942828,61.02366220002801,54.1118445648449,-82.13450536925842,-79.97419810205918,-74.28822936111675,-52.27989471839333,-72.994913608042,-65.22032621121544,958.4716142144724,293.51107103491154,845.6425208860214,171.2082044310094,356.39877247972873,271.7682914218388
S045,1.7995826055245727,6.171968927083341e-11,3.4296669172817614e-11,4.805859345751244,-89.07984130679147,-81.3117219050017,-83.99160693096984,-54.92586950043269,-54.65857979177239,-70.41476524166418,253.8387024583394,215.67148243309845,212.78601152335816,43.188575361573186,70.00735458700149,35.71976196540476,-51.63423018365323,-67.74972403017203,-49.67756841797137,-68.55173219683333,-69.8367354883013,-70.54991350861526,344.04333720738396,498.5240993547044,404.4559003951733,31.633247665025127,34.59518958717528,49.1991237488034
S046,1.2525416087741807,4.260543263895129e-11,3.401518348013026e-11,2.4563757000592616,-26.246748847538626,-19.416221171577522,-25.281864859309604,-45.07273000546647,-37.95179759374387,-35.05971244096507,1771.7917709982858,2086.2688084725382,2177.4883064560436,592.6754042451184,224.48913886474566,273.16216748396187,-75.33417968681027,-75.45719218863952,-71.4876733382709,-40.17651710511223,-18.290001905000157,-40.39382272635352,76.35704010027843,65.98826879602552,56.07345518300472,114.42744490946754,192.36127177403628,98.9813757173104
S047,2.4643261727135344,2.9301070465192834e-11,1.1890094253606314e-11,2.2669995594344385,-76.20361724416841,-85.39415761182015,-81.23642536512844,-55.87739291141665,-65.42146662779221,-54.95305052167111,1433.9498699089984,327.7094956550791,795.5600408409855,132.97425478799076,137.45220530685398,185.57583139391764,-78.6928721241538,-72.82967085496355,-77.51311314583201,-49.322930130451795,-45.23289747831946,-46.66805364653219,496.69219155595164,477.7136628177113,375.51505718463653,556.4327268353157,132.6800229734869,294.0368181590366
S048,3.6628563061197217,2.514199134864949e-10,6.864039767719929e-11,7.649581560893687,-94.10909201702637,-83.80196406816322,-86.99000878091589,-62.99489963170771,-48.996626662873105,-58.59195880264387,348.592683655864,319.03970457272,408.85555821119783,33.28186492720278,51.876404901797976,55.35415818754079,-91.64961908442662,-90.83857972888919,-88.82259784354098,-62.873425985606154,-66.7553785349282,-71.39994132398922,180.71933439156487,251.26771715883046,178.65211186084943,41.006242552712195,171.2823792822221,65.80895899245868
S049,0.8091073414675282,4.071446897879649e-11,5.032023180626458e-11,3.9151462039276907,-71.92783932046815,-80.65538172160205,-63.27652998353525,-75.09851989283621,-70.71828976709708,-71.75838673830222,951.616173825675,478.9827238188793,747.4083964203137,69.47979695452578,116.50135873164156,81.59909074663923,-51.084783869359505,-64.74137867176508,-53.45601935133859,-82.80223271273096,-59.03576043085346,-73.14601252767362,473.3992678890977,216.11661856999768,244.1011709482542,133.5718279137267,165.77964837117761,224.31387474480258
S050,2.0638488321387047,2.2421684608735058e-11,1.0864014970272865e-11,2.3201921371065666,-60.43595813738081,-58.63562258930924,-65.53187270588035,-54.258341065799755,-57.25067709737428,-59.708844573113176,197.17228074080734,247.6912747476585,163.25631181372296,51.7425296909405,64.71254864665546,135.78324757273782,-64.6715170167516,-43.59573268604372,-52.07147405021472,-44.66852129854752,-36.23607798435112,-41.8237022561801,1506.5677325913086,673.6653704497361,1404.3116599721889,89.37739956444682,163.34070328627078,125.6806405605899
S051,0.7472373267196514,2.2438934721250405e-12,3.002919409788672e-12,1.3235430545567297,-48.07052791416557,-76.00357603736884,-62.62580441928458,-60.35734931341381,-55.56564402809322,-67.25615994668317,205.96686704045192,121.5484483878308,163.23993267794168,63.11153781203831,78.26341393964694,70.876912582493,-72.08397027088908,-45.98284959856478,-57.97961452568904,-52.806429644450745,-65.32284521421319,-56.893048883488895,321.39274912281155,436.7933758065569,506.7166125356355,72.77523264727421,110.24034322110174,123.48356750875482
S052,1.980329322882882,3.4686923569376844e-10,1.7515734968202686e-10,9.297886921433872,-94.63139593940889,-95.70476721873992,-97.4528790021877,-57.894013524553266,-64.69643081480683,-72.41807420941285,960.5431580705941,297.2485905805452,1291.810540411712,73.38520799794115,150.63536186191254,204.13020741236053,-92.44907646068496,-91.31290222867901,-90.26023194755798,-64.4798552683304,-78.74780860948901,-54.717762470758714,117.7831313664673,239.2233049914679,24.12424727575988,37.889688652626724,123.02591359886827,67.92629778041912
S053,1.7304190077399102,5.373887896870287e-11,3.105541416751478e-11,1.48246608615829,-74.97435631887707,-85.48473153016107,-75.34117318354072,-59.03706475724394,-33.81671820244765,-26.84804074791393,295.92224465969934,611.0135810835192,315.4703761782399,139.88979446585356,191.0340913266662,160.24385041653403,-57.192785552450445,-60.69046534928527,-48.07974767621477,-43.20744944968149,-34.13274436057299,-42.451794072149,436.98021759111344,321.53124587689825,348.21555163185917,184.78059483513945,249.28404384809264,214.34087353088466
S054,3.736005782728848,6.071525934002198e-10,1.6251382591724584e-10,7.562212078845654,-86.55600854284661,-92.99839644493973,-71.22995995508562,-43.30122079302197,-61.57035607740791,-50.27123577297519,1320.1894613473644,87.58560156140766,312.94439881314497,97.18707927783859,96.02460716505897,171.97046004909112,-94.96568307159792,-91.96109707664752,-94.47871668105316,-74.03537233936018,-73.74129453394308,-74.47832203810607,119.61751711983749,340.7049004083403,140.3219374257712,28.73225457042532,75.30514260064912,115.89280334838978
